"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,"2021 Week 46 ending November 20, 2021","2021/46",11639,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 47 ending November 27, 2021","2021/47",11701,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 48 ending December 04, 2021","2021/48",11845,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 49 ending December 11, 2021","2021/49",12084,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 50 ending December 18, 2021","2021/50",11652,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 51 ending December 25, 2021","2021/51",11836,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 52 ending January 01, 2022","2021/52",11655,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 01 ending January 08, 2022","2022/01",11954,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 02 ending January 15, 2022","2022/02",12272,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 03 ending January 22, 2022","2022/03",11963,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 04 ending January 29, 2022","2022/04",11901,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 05 ending February 05, 2022","2022/05",11755,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 06 ending February 12, 2022","2022/06",11837,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 07 ending February 19, 2022","2022/07",11651,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 08 ending February 26, 2022","2022/08",11250,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 09 ending March 05, 2022","2022/09",11538,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 10 ending March 12, 2022","2022/10",11505,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 11 ending March 19, 2022","2022/11",11559,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 12 ending March 26, 2022","2022/12",11412,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 13 ending April 02, 2022","2022/13",11488,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 14 ending April 09, 2022","2022/14",11439,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 15 ending April 16, 2022","2022/15",11468,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 16 ending April 23, 2022","2022/16",11301,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 17 ending April 30, 2022","2022/17",11396,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 18 ending May 07, 2022","2022/18",11244,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 19 ending May 14, 2022","2022/19",11596,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 20 ending May 21, 2022","2022/20",11650,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 21 ending May 28, 2022","2022/21",11343,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 22 ending June 04, 2022","2022/22",11312,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 23 ending June 11, 2022","2022/23",11620,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 24 ending June 18, 2022","2022/24",11173,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 25 ending June 25, 2022","2022/25",11549,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 26 ending July 02, 2022","2022/26",11632,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 27 ending July 09, 2022","2022/27",11393,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 28 ending July 16, 2022","2022/28",11434,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 29 ending July 23, 2022","2022/29",11681,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 30 ending July 30, 2022","2022/30",11617,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 31 ending August 06, 2022","2022/31",11556,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 32 ending August 13, 2022","2022/32",11647,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 33 ending August 20, 2022","2022/33",11674,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 34 ending August 27, 2022","2022/34",11546,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 35 ending September 03, 2022","2022/35",11855,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 36 ending September 10, 2022","2022/36",11537,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 37 ending September 17, 2022","2022/37",11785,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 38 ending September 24, 2022","2022/38",11822,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 39 ending October 01, 2022","2022/39",11694,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 40 ending October 08, 2022","2022/40",11874,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 41 ending October 15, 2022","2022/41",11801,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 42 ending October 22, 2022","2022/42",11686,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 43 ending October 29, 2022","2022/43",11674,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 44 ending November 05, 2022","2022/44",11918,Not Applicable,Not Applicable,Not Applicable,0.2%
